iter	Passed	Remaining
651	1154	616
652	1156	614
653	1157	612
654	1159	610
655	1160	608
656	1161	606
657	1163	604
658	1164	602
659	1165	600
660	1167	598
661	1169	597
662	1171	595
663	1173	593
664	1175	591
665	1176	590
666	1177	588
667	1179	586
668	1180	584
669	1182	582
670	1184	580
671	1185	578
672	1187	576
673	1188	575
674	1190	573
675	1191	571
676	1193	569
677	1194	567
678	1195	565
679	1197	563
680	1198	561
681	1200	559
682	1202	557
683	1203	555
684	1204	554
685	1206	552
686	1207	550
687	1209	548
688	1210	546
689	1211	544
690	1213	542
691	1214	540
692	1216	538
693	1217	536
694	1219	535
695	1220	533
696	1221	531
697	1223	529
698	1224	527
699	1226	525
700	1227	523
701	1228	521
702	1230	519
703	1231	517
704	1233	516
705	1234	514
706	1236	512
707	1237	510
708	1238	508
709	1240	506
710	1241	504
711	1243	503
712	1244	501
713	1246	499
714	1247	497
715	1249	495
716	1250	493
717	1252	491
718	1253	489
719	1255	488
720	1256	486
721	1257	484
722	1259	482
723	1260	480
724	1262	478
725	1263	476
726	1264	475
727	1266	473
728	1267	471
729	1269	469
730	1270	467
731	1271	465
732	1273	463
733	1274	461
734	1276	460
735	1277	458
736	1278	456
737	1280	454
738	1281	452
739	1283	450
740	1284	449
741	1286	447
742	1287	445
743	1288	443
744	1290	441
745	1291	439
746	1293	437
747	1294	436
748	1295	434
749	1297	432
750	1298	430
751	1300	428
752	1301	426
753	1303	425
754	1304	423
755	1305	421
756	1307	419
757	1308	417
758	1310	416
759	1311	414
760	1313	412
761	1314	410
762	1315	408
763	1317	406
764	1318	405
765	1320	403
766	1321	401
767	1322	399
768	1324	397
769	1325	395
770	1327	394
771	1328	392
772	1329	390
773	1331	388
774	1332	386
775	1333	385
776	1335	383
777	1336	381
778	1337	379
779	1339	377
780	1340	376
781	1342	374
782	1343	372
783	1345	370
784	1346	368
785	1348	367
786	1349	365
787	1350	363
788	1352	361
789	1353	359
790	1355	358
791	1356	356
792	1358	354
793	1359	352
794	1360	350
795	1362	349
796	1363	347
797	1364	345
798	1366	343
799	1367	341
800	1369	340
801	1370	338
802	1372	336
803	1373	334
804	1375	333
805	1376	331
806	1377	329
807	1379	327
808	1380	325
809	1382	324
810	1383	322
811	1384	320
812	1386	318
813	1388	317
814	1389	315
815	1390	313
816	1392	311
817	1393	310
818	1395	308
819	1396	306
820	1397	304
821	1399	303
822	1400	301
823	1402	299
824	1404	297
825	1406	296
826	1407	294
827	1409	292
828	1410	291
829	1412	289
830	1413	287
831	1414	285
832	1416	283
833	1418	282
834	1419	280
835	1420	278
836	1422	276
837	1423	275
